ancestry,citizenship,us_born,pre_1950,1950_1959,1960_1969,1970_1979,1980_1989,1990_1999,2000_2009,post_2009
Alsatian,us_citizen,6248,0,68,23,11,0,0,11,0
Alsatian,not_us_citizen,0,0,0,0,0,6,0,0,0
Austrian,us_citizen,309398,3090,7461,5190,2367,1869,2217,1423,403
Austrian,not_us_citizen,0,56,581,699,678,1262,1964,2183,5034
Basque,us_citizen,37350,86,367,1283,682,430,555,435,51
Basque,not_us_citizen,0,0,12,155,182,86,177,391,611
Belgian,us_citizen,175979,1135,1730,1933,1233,2385,2026,1885,495
Belgian,not_us_citizen,0,113,221,624,444,1211,1078,2175,5016
Flemish,us_citizen,5303,44,140,160,210,105,108,21,10
Flemish,not_us_citizen,0,0,0,43,16,30,122,149,81
British,us_citizen,1098143,4671,12424,21428,17924,20936,23048,17795,5386
British,not_us_citizen,0,390,2477,5595,6630,10980,14894,22887,45320
British Isles,us_citizen,84839,116,388,240,242,232,343,169,50
British Isles,not_us_citizen,0,0,0,84,28,13,63,67,175
Danish,us_citizen,681550,1168,4314,4192,2905,2627,3405,2144,605
Danish,not_us_citizen,0,107,415,1158,923,1614,2498,2805,7394
Dutch,us_citizen,2061532,4049,18312,15909,8247,8805,9977,8114,3605
Dutch,not_us_citizen,0,218,1871,5136,3215,4464,7221,9405,18052
English,us_citizen,15044126,21871,49474,69787,50442,47431,48374,32517,15238
English,not_us_citizen,0,1235,5682,13482,14224,20462,26883,36497,48680
Finnish,us_citizen,408417,580,1490,2167,1733,1925,2544,1804,750
Finnish,not_us_citizen,0,15,167,510,663,746,1126,1609,5746
French,us_citizen,3996841,8002,16757,25546,19344,20710,24293,18486,7489
French,not_us_citizen,0,226,1502,3673,3024,5022,9470,18428,57134
German,us_citizen,28398380,29591,134744,130700,73746,64328,64714,44051,22158
German,not_us_citizen,0,725,9432,18715,13442,18629,29970,37385,65188
Prussian,us_citizen,31856,19,232,160,101,121,224,131,16
Prussian,not_us_citizen,0,0,0,20,0,0,0,38,75
Greek,us_citizen,815787,5204,16884,32762,31502,13082,10270,6670,3427
Greek,not_us_citizen,0,184,562,3186,4665,3194,3098,4224,11373
Icelander,us_citizen,26843,133,512,697,514,727,762,733,139
Icelander,not_us_citizen,0,0,108,239,100,214,274,608,1161
Irish,us_citizen,18941493,10680,37386,46194,32807,37577,37749,22624,12303
Irish,not_us_citizen,0,246,2222,4960,4614,8347,12041,14879,25811
Italian,us_citizen,11968991,21748,74761,92635,60359,40467,43674,38523,14849
Italian,not_us_citizen,0,694,4412,12362,15787,9316,14573,32374,66150
Sicilian,us_citizen,139831,311,957,958,672,305,245,170,63
Sicilian,not_us_citizen,0,0,25,84,534,66,50,31,114
Luxembourger,us_citizen,19724,18,99,271,82,77,18,26,6
Luxembourger,not_us_citizen,0,16,0,0,12,10,13,13,175
Maltese,us_citizen,21016,452,1592,544,459,407,223,241,108
Maltese,not_us_citizen,0,0,103,176,40,77,70,230,566
Norwegian,us_citizen,2781056,2413,5271,6916,4807,3838,3811,2547,1949
Norwegian,not_us_citizen,0,52,457,1660,950,1465,2496,3010,5627
Portuguese,us_citizen,723106,2312,8419,34212,43480,28322,17834,10707,3396
Portuguese,not_us_citizen,0,165,378,4804,10760,8810,8985,14042,25538
Scotch Irish,us_citizen,2180429,2013,4671,6679,4119,3075,3421,2385,1224
Scotch Irish,not_us_citizen,0,29,308,735,378,725,1077,1428,1440
Scottish,us_citizen,3173156,5474,14468,20283,14219,13468,15165,9041,2611
Scottish,not_us_citizen,0,214,2328,4288,4399,5759,7501,9408,13611
Swedish,us_citizen,2055816,1676,5001,5600,5493,5571,6507,4593,2406
Swedish,not_us_citizen,0,136,523,956,880,2169,2975,4218,12081
Swiss,us_citizen,502747,805,3059,4297,3258,3427,3835,2753,1077
Swiss,not_us_citizen,0,105,302,778,859,930,2454,2836,5691
Irish Scotch,us_citizen,1136871,815,1746,3202,2299,2556,2397,1183,855
Irish Scotch,not_us_citizen,0,98,149,385,286,423,750,790,2059
Welsh,us_citizen,842171,788,2155,3192,2380,2419,2615,1677,676
Welsh,not_us_citizen,0,27,177,447,638,826,1196,1595,2500
Scandinavian,us_citizen,573100,429,910,1380,1321,1478,1205,661,564
Scandinavian,not_us_citizen,0,0,116,203,181,234,490,290,699
Celtic,us_citizen,36334,75,412,306,375,504,323,11,28
Celtic,not_us_citizen,0,0,0,62,99,75,69,148,289
Albanian,us_citizen,67633,207,382,2282,3791,4127,32754,28480,5006
Albanian,not_us_citizen,0,5,19,164,431,1081,4229,8418,22388
Belorussian,us_citizen,12469,151,513,131,410,1445,10109,7965,1188
Belorussian,not_us_citizen,0,0,37,0,28,209,877,2709,7931
Bulgarian,us_citizen,24650,89,345,755,604,1296,17398,20117,3266
Bulgarian,not_us_citizen,0,0,18,57,62,25,1823,6667,10250
Croatian,us_citizen,213296,720,2747,6930,5579,2742,8658,3362,902
Croatian,not_us_citizen,0,0,158,195,455,531,1508,1638,2726
Czech,us_citizen,571887,1290,2839,4382,3182,5096,4391,2841,516
Czech,not_us_citizen,0,17,141,254,158,789,2657,3091,4102
Bohemian,us_citizen,135605,25,227,161,263,338,79,224,225
Bohemian,not_us_citizen,0,0,0,0,59,0,82,90,485
Czechoslovakian,us_citizen,180907,611,1004,898,856,817,479,305,271
Czechoslovakian,not_us_citizen,0,0,14,54,135,153,188,405,102
Estonian,us_citizen,13083,1108,1129,388,157,155,1002,520,49
Estonian,not_us_citizen,0,15,39,56,65,43,417,825,950
German Russian,us_citizen,20107,42,233,281,71,183,142,173,300
German Russian,not_us_citizen,0,0,0,0,0,12,84,89,0
Rom,us_citizen,10027,0,14,53,14,99,461,337,186
Rom,not_us_citizen,0,0,0,43,0,84,85,189,447
Hungarian,us_citizen,724678,3392,17102,8298,7232,8836,9799,7080,2882
Hungarian,not_us_citizen,0,22,520,670,761,1712,2517,4693,9734
Latvian,us_citizen,40455,2545,4544,781,573,579,2206,1469,766
Latvian,not_us_citizen,0,122,127,94,143,59,460,709,1958
Lithuanian,us_citizen,308041,3770,3935,1629,1194,1807,6452,6081,660
Lithuanian,not_us_citizen,0,81,260,151,29,263,1875,4225,4022
Macedonian,us_citizen,22005,29,199,1961,2791,1868,3791,2901,555
Macedonian,not_us_citizen,0,0,38,77,270,168,649,2069,3571
Montenegrin,us_citizen,4223,0,8,62,520,480,1836,694,91
Montenegrin,not_us_citizen,0,0,63,14,41,73,396,484,856
Polish,us_citizen,5436551,14059,28841,34466,30583,74953,95851,53507,7545
Polish,not_us_citizen,0,488,1714,3688,3812,10530,29395,43918,29035
Romanian,us_citizen,167908,848,1797,3338,6998,21142,42504,29901,3040
Romanian,not_us_citizen,0,17,185,231,405,1465,3516,12658,17676
Moldavian,us_citizen,5970,0,43,24,65,391,3993,5075,1042
Moldavian,not_us_citizen,0,0,0,16,0,0,238,3729,6069
Russian,us_citizen,1253386,4965,7837,7592,19126,29614,162352,111562,15044
Russian,not_us_citizen,0,131,514,813,1306,3380,16620,31659,68502
Serbian,us_citizen,88487,466,1738,4430,3719,3407,12702,9281,1778
Serbian,not_us_citizen,0,0,49,214,515,562,2209,4599,7879
Slovak,us_citizen,372287,1062,903,1946,1105,2139,4295,2630,467
Slovak,not_us_citizen,0,0,13,82,83,116,1298,1855,2287
Slovene,us_citizen,100722,403,976,850,336,591,458,511,79
Slovene,not_us_citizen,0,0,31,19,54,106,211,276,777
Turkestani,us_citizen,2410,0,12,34,22,84,1301,5115,765
Turkestani,not_us_citizen,0,0,0,44,22,124,145,1790,7296
Uzbeg,us_citizen,7482,0,37,183,269,851,3739,3708,838
Uzbeg,not_us_citizen,0,0,0,0,0,88,288,4644,16084
Georgia CIS,us_citizen,3312,32,28,94,137,311,3739,2668,632
Georgia CIS,not_us_citizen,0,0,0,0,94,47,812,1367,4221
Ukrainian,us_citizen,408097,5878,12586,5992,10692,15599,84779,60283,8224
Ukrainian,not_us_citizen,0,197,548,1454,755,1968,13702,26199,48938
Yugoslavian,us_citizen,62689,340,1647,1736,2145,2013,4455,1375,201
Yugoslavian,not_us_citizen,0,44,165,129,157,677,868,1055,531
Bosnian and Herzegovinian,us_citizen,26779,19,220,217,707,1041,50461,17955,1473
Bosnian and Herzegovinian,not_us_citizen,0,0,69,0,10,145,8384,5998,3613
Slavic,us_citizen,58177,177,617,593,646,911,2437,1606,290
Slavic,not_us_citizen,0,0,19,49,13,21,432,786,2791
Slavonian,us_citizen,3351,8,11,0,14,64,0,34,75
Slavonian,not_us_citizen,0,0,0,0,0,0,0,0,0
Central European,us_citizen,17024,18,128,157,65,112,113,70,45
Central European,not_us_citizen,0,0,13,11,21,21,79,32,31
Northern European,us_citizen,378785,215,1120,1702,1267,1157,849,695,380
Northern European,not_us_citizen,0,0,39,34,33,70,242,104,416
Southern European,us_citizen,12758,49,144,199,243,427,534,550,228
Southern European,not_us_citizen,0,0,0,0,0,25,159,93,747
Western European,us_citizen,513796,157,881,1547,1401,1092,1313,954,719
Western European,not_us_citizen,0,6,57,87,95,233,170,401,756
Eastern European,us_citizen,677043,949,2483,3014,3107,3836,6362,3395,1066
Eastern European,not_us_citizen,0,18,76,102,355,301,845,1155,2123
Germanic,us_citizen,43294,122,694,443,205,84,211,99,57
Germanic,not_us_citizen,0,0,17,30,4,53,189,151,242
European,us_citizen,4577653,3007,9918,15642,14037,15978,20936,16172,7921
European,not_us_citizen,0,77,228,1036,1181,2936,4994,7684,14535
Spaniard,us_citizen,321895,2172,6530,27146,24161,31260,29821,29822,13130
Spaniard,not_us_citizen,0,109,297,1986,3626,6485,12335,25257,41331
Mexican,us_citizen,13749811,19912,77946,221868,549754,721095,626845,371130,97425
Mexican,not_us_citizen,0,4566,22504,84476,330872,816977,1898539,2230289,801840
Mexican American,us_citizen,4013335,1728,4356,10018,23990,28023,29482,17629,9903
Mexican American,not_us_citizen,0,156,186,1161,4439,10090,22261,24466,10264
Mexicano,us_citizen,237844,337,1523,6431,17924,32409,31538,31926,12868
Mexicano,not_us_citizen,0,261,499,2481,9365,31140,83527,126702,51930
Chicano,us_citizen,52408,0,7,100,159,290,0,0,48
Chicano,not_us_citizen,0,0,0,0,13,32,0,180,51
Mexican American Indian,us_citizen,232589,78,379,843,1744,2188,1527,940,324
Mexican American Indian,not_us_citizen,0,0,154,165,520,1562,4307,4269,2455
Mexican State,us_citizen,251422,197,2183,5715,16919,22663,19395,11989,3677
Mexican State,not_us_citizen,0,86,378,2569,11532,30196,72577,89930,35383
Mexican Indian,us_citizen,52554,76,234,288,684,840,859,351,240
Mexican Indian,not_us_citizen,0,0,0,264,367,914,2033,1544,1074
Costa Rican,us_citizen,44754,75,939,3729,4875,6637,9484,6988,1850
Costa Rican,not_us_citizen,0,0,84,553,787,1294,5929,9980,7989
Guatemalan,us_citizen,438216,311,1269,7489,25731,58487,52788,49063,11404
Guatemalan,not_us_citizen,0,0,274,1463,7621,44344,105806,247345,182763
Honduran,us_citizen,269410,253,807,4886,11286,30972,34386,23359,7442
Honduran,not_us_citizen,0,13,134,1083,5042,19093,75921,161987,162897
Nicaraguan,us_citizen,123988,262,2155,4775,15728,56153,21936,16222,5204
Nicaraguan,not_us_citizen,0,52,327,733,2696,18770,15466,26907,21024
Panamanian,us_citizen,63956,462,2428,6850,9421,12654,13961,6010,2023
Panamanian,not_us_citizen,0,0,134,797,884,3147,3425,4430,3888
Salvadoran,us_citizen,718598,352,2112,9667,47646,147573,82609,51546,13882
Salvadoran,not_us_citizen,0,163,700,2468,14766,90494,173465,287628,202756
Central American,us_citizen,16804,9,195,682,1367,2755,1557,784,347
Central American,not_us_citizen,0,0,0,73,475,1345,1893,2874,2306
Argentinean,us_citizen,69347,86,1332,5983,7180,8200,10145,12636,1203
Argentinean,not_us_citizen,0,24,389,1123,1012,2312,5471,20426,10887
Bolivian,us_citizen,32371,112,277,1278,3667,7614,8271,7574,1552
Bolivian,not_us_citizen,0,0,41,60,693,1785,4360,10912,7836
Chilean,us_citizen,42829,155,925,3218,6326,8767,9203,5522,1819
Chilean,not_us_citizen,0,33,98,358,1647,2983,5854,7837,10308
Colombian,us_citizen,323622,437,3726,26878,44174,76097,94822,102241,18127
Colombian,not_us_citizen,0,40,840,3211,4039,16267,37878,69817,109631
Ecuadorian,us_citizen,211711,455,2124,15310,23239,32787,47281,35595,7876
Ecuadorian,not_us_citizen,0,33,541,2303,3430,10046,40215,69959,52262
Paraguayan,us_citizen,4746,0,70,284,709,1073,2331,1345,234
Paraguayan,not_us_citizen,0,0,0,74,152,307,736,1571,1463
Peruvian,us_citizen,180298,195,1776,8910,17891,46912,55838,54182,9339
Peruvian,not_us_citizen,0,40,463,979,2707,10120,26118,60208,41159
Uruguayan,us_citizen,12187,17,29,1258,1948,2304,1384,3133,328
Uruguayan,not_us_citizen,0,0,0,67,437,753,992,7009,1794
Venezuelan,us_citizen,62978,189,383,1499,3152,10069,22109,31040,10967
Venezuelan,not_us_citizen,0,0,0,318,1006,2856,9342,23930,123499
South American,us_citizen,14840,0,316,1351,1865,2481,2034,1707,556
South American,not_us_citizen,0,0,3,34,368,682,1335,1701,1370
Latin American,us_citizen,25151,105,203,746,1050,1584,1085,1070,770
Latin American,not_us_citizen,0,0,0,11,34,322,838,1284,1959
Latin,us_citizen,37013,279,509,1501,2724,3800,3560,3595,2914
Latin,not_us_citizen,0,0,0,138,302,1323,2264,3787,5691
Latino,us_citizen,200449,476,1674,4169,9318,16199,15651,15204,6416
Latino,not_us_citizen,0,0,203,532,1595,5605,14050,23914,19613
Puerto Rican,us_citizen,2441595,27728,95083,130091,123112,178108,182295,242325,317563
Puerto Rican,not_us_citizen,0,0,69,50,119,136,746,937,895
Cuban,us_citizen,726569,3383,19576,132485,62683,80586,115534,140680,36436
Cuban,not_us_citizen,0,137,1465,10001,8055,27251,48645,116378,240146
Dominican,us_citizen,684645,978,3782,34678,58440,120607,163978,128158,51538
Dominican,not_us_citizen,0,240,880,4831,10892,33609,68106,114252,214144
Hispanic,us_citizen,2523526,3802,14781,35278,61555,102477,94807,73761,29306
Hispanic,not_us_citizen,0,527,859,5473,18885,50702,115230,145691,81629
Spanish,us_citizen,1261024,6089,19352,53306,47903,65396,66018,57154,28918
Spanish,not_us_citizen,0,182,710,3724,6597,19283,51226,80548,84371
Spanish American,us_citizen,54274,141,140,309,763,440,465,573,291
Spanish American,not_us_citizen,0,0,0,19,18,11,105,172,111
Bahamian,us_citizen,21038,11,376,377,1773,2344,2791,1691,311
Bahamian,not_us_citizen,0,0,0,124,616,1128,1937,2049,5422
Barbadian,us_citizen,19872,125,513,3633,7424,6205,4471,2207,573
Barbadian,not_us_citizen,0,0,28,489,982,1822,1486,984,1230
Belizean,us_citizen,23080,19,297,1639,3721,4762,2927,2108,617
Belizean,not_us_citizen,0,0,93,432,974,1777,1785,3151,2707
Jamaican,us_citizen,365577,950,4043,31483,69873,115268,103094,86556,22325
Jamaican,not_us_citizen,0,138,451,3976,11168,23419,31916,51877,87597
Dutch West Indian,us_citizen,15605,0,50,225,147,108,377,89,179
Dutch West Indian,not_us_citizen,0,0,8,0,70,145,31,306,540
Trinidadian Tobagonian,us_citizen,64376,290,774,8003,15754,21608,23683,14431,2775
Trinidadian Tobagonian,not_us_citizen,0,0,20,763,3054,5441,8730,12085,6964
British West Indian,us_citizen,5601,27,57,855,1567,2429,2315,1934,553
British West Indian,not_us_citizen,0,0,19,81,210,563,463,701,1392
Antigua and Barbuda,us_citizen,6320,0,13,603,1511,2536,1448,1102,379
Antigua and Barbuda,not_us_citizen,0,0,0,105,155,502,800,623,756
Grenadian,us_citizen,7455,117,218,905,2745,4913,3535,1760,545
Grenadian,not_us_citizen,0,0,43,22,306,834,1268,1457,1441
Vincent-Grenadine Islander,us_citizen,2688,0,68,417,1441,2073,1286,746,133
Vincent-Grenadine Islander,not_us_citizen,0,0,0,0,149,621,831,813,978
St Lucia Islander,us_citizen,3479,6,0,252,667,1521,1826,1913,250
St Lucia Islander,not_us_citizen,0,0,0,0,77,475,919,1369,1473
West Indian,us_citizen,92973,622,1804,6645,14293,21353,17737,10949,5020
West Indian,not_us_citizen,0,48,20,783,2027,3911,6985,6821,6185
Haitian,us_citizen,385843,238,1089,15145,40637,88246,93479,94003,24557
Haitian,not_us_citizen,0,157,192,2299,7975,21428,36456,72264,102929
Other West Indian,us_citizen,8653,59,304,673,1113,2505,2504,2278,3549
Other West Indian,not_us_citizen,0,0,45,182,245,149,506,450,1439
Brazilian,us_citizen,115615,52,830,2734,4399,17038,31212,31588,7860
Brazilian,not_us_citizen,0,6,256,1085,1123,5717,21460,57672,99948
Guyanese,us_citizen,61864,130,374,4310,13702,36216,30821,24668,4402
