ancestry,na_married,married,not_married
Alsatian,43,3830,2494
Austrian,6646,211920,127309
Basque,470,26917,15466
Belgian,2828,130916,65939
Flemish,87,4224,2231
British,16380,886424,428124
British Isles,374,60118,26557
Danish,11440,477335,231049
Dutch,40279,1447619,700234
English,224854,10277251,5044300
Finnish,5809,279551,146632
French,88326,2561267,1586354
German,597396,18612389,9946113
Prussian,480,20685,11828
Greek,22219,609391,334464
Icelander,725,21933,11106
Irish,439456,11704867,7107610
Italian,275619,7711404,4524652
Sicilian,3975,77984,62457
Luxembourger,451,13512,6597
Maltese,417,16512,9375
Norwegian,49921,1827780,950624
Portuguese,16760,588922,339588
Scotch Irish,33590,1359672,820874
Scottish,60227,2146722,1108444
Swedish,37185,1364366,715050
Swiss,7534,379867,151812
Irish Scotch,26052,693226,437586
Welsh,15213,563567,286699
Scandinavian,11074,382222,189965
Celtic,867,21050,17193
Albanian,1491,145339,34567
Belorussian,161,32908,13103
Bulgarian,1340,59647,26435
Croatian,3957,162274,85916
Czech,12639,384181,210813
Bohemian,2239,87962,47662
Czechoslovakian,4285,112110,70804
Estonian,368,13092,6541
German Russian,399,10728,10590
Rom,546,6345,5148
Hungarian,14304,513760,281864
Latvian,815,35879,20896
Lithuanian,6118,212871,125486
Macedonian,751,31125,11066
Montenegrin,46,7492,2303
Polish,111181,3725664,2062091
Romanian,6813,210278,96538
Moldavian,214,20221,6220
Russian,36194,1095744,602465
Serbian,2083,90267,49685
Slovak,6393,251343,134832
Slovene,1832,69105,35463
Turkestani,625,12931,5608
Uzbeg,169,29678,8364
Georgia CIS,260,10145,7089
Ukrainian,10740,473469,221682
Yugoslavian,1934,49185,29108
Bosnian and Herzegovinian,790,83595,32706
Slavic,866,44205,24494
Slavonian,35,2294,1228
Central European,271,11189,6480
Northern European,3513,266067,117528
Southern European,262,9597,6297
Western European,4737,382373,136555
Eastern European,7771,489091,209368
Germanic,952,28913,16030
European,98048,3251584,1364303
Spaniard,13303,334329,229731
Mexican,377563,13570547,8677739
Mexican American,71118,2382572,1757797
Mexicano,10366,446137,222202
Chicano,2178,28025,23085
Mexican American Indian,7821,127675,118548
Mexican State,15303,346596,214912
Mexican Indian,1431,31840,29051
Costa Rican,1711,63491,40745
Guatemalan,16689,658211,559474
Honduran,13916,394035,401020
Nicaraguan,3917,185404,143077
Panamanian,3989,66960,63521
Salvadoran,21562,1022340,802523
Central American,768,18451,14247
Argentinean,3522,103932,50302
Bolivian,1013,57658,29732
Chilean,1970,69357,36555
Colombian,12874,555322,363651
Ecuadorian,6107,333351,215709
Paraguayan,312,9272,5511
Peruvian,6129,306361,204645
Uruguayan,646,20031,12963
Venezuelan,3560,207251,92526
South American,498,16951,13194
Latin American,577,21237,14398
Latin,603,41130,27667
Latino,8118,186487,140463
Puerto Rican,112937,1673308,1954607
Cuban,34900,965504,769606
Dominican,27400,756109,910249
Hispanic,97239,1892224,1368826
Spanish,30722,1026027,795052
Spanish American,936,32510,24386
Bahamian,1828,17957,22203
Barbadian,1048,20241,30755
Belizean,1344,23274,25471
Jamaican,26606,441396,541709
Dutch West Indian,554,9024,8302
Trinidadian Tobagonian,4321,89231,95199
British West Indian,269,8902,9596
Antigua and Barbuda,422,6196,10235
Grenadian,366,13271,13927
Vincent-Grenadine Islander,120,5274,6850
St Lucia Islander,119,6320,7788
West Indian,5647,87281,105248
Haitian,18201,509817,458919
Other West Indian,1248,8699,14707
Brazilian,7492,259876,131227
Guyanese,3282,123837,85929
Algerian,164,13499,4893
Egyptian,3950,182358,57803
Libyan (2017 or later),90,3601,987
Moroccan,4138,66379,29695
North African,299,9974,3565
Iranian,6116,268247,150029
Iraqi,923,96680,36712
Israeli,2347,79394,30028
Jordanian,850,56241,16849
Kuwaiti (2017 or later),78,1815,2360
Lebanese,6433,233748,113279
Saudi Arabian,593,20672,17694
Syrian,2087,91576,36721
Armenian,4922,250312,134766
Turkish,3153,123113,51638
Yemeni,395,46513,9215
Kurdish,121,17964,4741
Palestinian,1641,81179,26849
Assyrian,172,25186,11998
Chaldean,135,39939,12109
Mideast,2738,97350,46880
Arab,1394,72740,29700
Arabic,1858,106121,41908
Other Arab,348,17237,7852
Cameroonian,595,27748,13226
Cape Verdean,2459,38704,57166
Congolese,710,27463,18869
Ethiopian,3896,141350,98934
Eritrean,564,25449,20482
Gambian (2017 or later),37,5450,2532
Ghanaian,2667,74476,54675
Guinean (2017 or later),169,2556,2309
Kenyan,2058,43201,35158
Liberian,1022,36553,34921
Nigerian,10629,242940,141558
Senegalese,319,10794,5277
Sierra Leonean,593,9873,10839
Somali,1986,85189,71485
South African,1288,34422,16752
Sudanese,1498,34731,25120
Togo (2017 or later),88,4993,2003
Other Subsaharan African,2776,55951,39286
Ugandan,676,8716,7317
Zimbabwean (2017 or later),193,2500,1740
Western African,1046,16406,17263
African,93704,752633,1023938
Afghan,894,95465,25991
Bangladeshi,1748,153909,31559
Bhutanese,133,26791,5493
Nepali,2141,117830,34618
Asian Indian,50842,2657197,568405
Bengali,850,38297,9225
East Indian,699,52462,22071
Punjabi,478,29630,5694
Pakistani,6190,361795,86321
Sri Lankan,1084,37357,13466
Burmese,1608,126084,36162
Cambodian,3356,143842,101145
Chinese,110425,2505181,1154837
Cantonese,396,9043,4871
Mongolian,314,14594,6575
Tibetan,290,11461,5125
Hong Kong (2017 or later),285,6202,2724
Filipino,53350,1935317,849648
Indonesian,2281,52059,20917
Japanese,28878,642943,343301
Okinawan,206,7929,5889
Korean,42321,1012718,446686
Laotian,3082,116329,75474
Hmong,2882,144980,88806
Malaysian,912,19116,9066
Thai,4332,137988,78145
Taiwanese,6617,212256,99156
Vietnamese,28267,1074535,478855
Eurasian (2016 or earlier),64,3004,1083
Asian,26401,505126,200809
Other Asian,1173,15882,8508
Australian,1929,45201,22489
New Zealander,601,9543,4727
Polynesian,382,7400,5147
Hawaiian,11070,192810,146678
Samoan,4180,67440,39819
Tongan,1219,30288,10905
Micronesian,1305,17856,12565
Guamanian,1402,24805,16285
Chamorro,652,19529,10544
Palauan (2017 or later),88,3401,1903
Marshallese,843,19181,10661
Fijian,344,20526,8247
Pacific Islander,2581,28547,18522
Other Pacific,793,11002,7607
Afro American,19713,99464,267594
Afro,978,8869,11521
African American,1231306,8276597,15367866
Black,115967,1145874,2219347
Negro,306,9161,16855
Creole,2445,13207,25088
Central American Indian,960,18122,13383
South American Indian,155,7382,4100
Native American,70616,920996,949670
Indian,12883,341940,294982
Cherokee,21913,327087,311776
American Indian,73066,1187479,1168433
Aleut (2016 or earlier),40,2273,1059
Eskimo,1462,27168,24669
White,209976,6660687,4142463
Anglo,4403,241121,116762
Appalachian,159,10951,7103
Pennsylvania German,2585,173003,71186
Canadian,10363,289196,155846
French Canadian,23812,919409,530260
Acadian (2017 or later),5,3043,1447
Cajun,1054,52518,29678
American,410139,10621989,6198207
United States,25752,441888,254115
New Mexico (2017 or later),0,1817,1976
Texas,525,34725,24527
North American,127,17072,8759
Mixture,13749,659203,394298
Uncodable entries,66621,3113922,1860337
Other groups,750,33879,18085
Other responses,23356,725972,342458
Not reported,1832508,30317124,20879035