ancestry,no_unmarried_partner,unmarried_partner,na_partner
Alsatian,6227,97,43
Austrian,317992,21237,6646
Basque,39403,2980,470
Belgian,185108,11747,2828
Flemish,6215,240,87
British,1249596,64952,16380
British Isles,83903,2772,374
Danish,675862,32522,11440
Dutch,2028231,119622,40279
English,14585837,735714,224854
Finnish,396478,29705,5809
French,3847259,300362,88326
German,26590787,1967715,597396
Prussian,30488,2025,480
Greek,885632,58223,22219
Icelander,30991,2048,725
Irish,17400584,1411893,439456
Italian,11302153,933903,275619
Sicilian,125335,15106,3975
Luxembourger,19175,934,451
Maltese,24296,1591,417
Norwegian,2591750,186654,49921
Portuguese,856033,72477,16760
Scotch Irish,2072084,108462,33590
Scottish,3060385,194781,60227
Swedish,1958441,120975,37185
Swiss,509230,22449,7534
Irish Scotch,1047291,83521,26052
Welsh,800235,50031,15213
Scandinavian,532577,39610,11074
Celtic,35913,2330,867
Albanian,175245,4661,1491
Belorussian,44110,1901,161
Bulgarian,82460,3622,1340
Croatian,235138,13052,3957
Czech,556834,38160,12639
Bohemian,127766,7858,2239
Czechoslovakian,169905,13009,4285
Estonian,18451,1182,368
German Russian,19649,1669,399
Rom,10482,1011,546
Hungarian,747452,48172,14304
Latvian,53187,3588,815
Lithuanian,318138,20219,6118
Macedonian,40117,2074,751
Montenegrin,9617,178,46
Polish,5391319,396436,111181
Romanian,290519,16297,6813
Moldavian,25282,1159,214
Russian,1601987,96222,36194
Serbian,132029,7923,2083
Slovak,371222,14953,6393
Slovene,99640,4928,1832
Turkestani,18205,334,625
Uzbeg,37268,774,169
Georgia CIS,16468,766,260
Ukrainian,662758,32393,10740
Yugoslavian,73796,4497,1934
Bosnian and Herzegovinian,108082,8219,790
Slavic,65384,3315,866
Slavonian,3385,137,35
Central European,16801,868,271
Northern European,362978,20617,3513
Southern European,14931,963,262
Western European,493494,25434,4737
Eastern European,661398,37061,7771
Germanic,42560,2383,952
European,4332800,283087,98048
Spaniard,524923,39137,13303
Mexican,20045469,2202817,377563
Mexican American,3720411,419958,71118
Mexicano,597165,71174,10366
Chicano,46476,4634,2178
Mexican American Indian,213135,33088,7821
Mexican State,511029,50479,15303
Mexican Indian,52889,8002,1431
Costa Rican,96808,7428,1711
Guatemalan,1055612,162073,16689
Honduran,676431,118624,13916
Nicaraguan,302348,26133,3917
Panamanian,120147,10334,3989
Salvadoran,1594774,230089,21562
Central American,29411,3287,768
Argentinean,143861,10373,3522
Bolivian,83215,4175,1013
Chilean,98169,7743,1970
Colombian,851755,67218,12874
Ecuadorian,501982,47078,6107
Paraguayan,13763,1020,312
Peruvian,472959,38047,6129
Uruguayan,30048,2946,646
Venezuelan,285374,14403,3560
South American,28364,1781,498
Latin American,32455,3180,577
Latin,63894,4903,603
Latino,296982,29968,8118
Puerto Rican,3195782,432133,112937
Cuban,1558979,176131,34900
Dominican,1522898,143460,27400
Hispanic,2967543,293507,97239
Spanish,1671423,149656,30722
Spanish American,52296,4600,936
Bahamian,37996,2164,1828
Barbadian,48418,2578,1048
Belizean,44923,3822,1344
Jamaican,922031,61074,26606
Dutch West Indian,16371,955,554
Trinidadian Tobagonian,173981,10449,4321
British West Indian,17866,632,269
Antigua and Barbuda,15039,1392,422
Grenadian,26289,909,366
Vincent-Grenadine Islander,11267,857,120
St Lucia Islander,13041,1067,119
West Indian,179439,13090,5647
Haitian,908881,59855,18201
Other West Indian,21345,2061,1248
Brazilian,366345,24758,7492
Guyanese,199962,9804,3282
Algerian,18016,376,164
Egyptian,236746,3415,3950
Libyan (2017 or later),4536,52,90
Moroccan,93847,2227,4138
North African,13208,331,299
Iranian,402709,15567,6116
Iraqi,131795,1597,923
Israeli,104347,5075,2347
Jordanian,71780,1310,850
Kuwaiti (2017 or later),4083,92,78
Lebanese,330066,16961,6433
Saudi Arabian,37893,473,593
Syrian,124129,4168,2087
Armenian,370945,14133,4922
Turkish,168165,6586,3153
Yemeni,55557,171,395
Kurdish,22517,188,121
Palestinian,105386,2642,1641
Assyrian,36013,1171,172
Chaldean,51393,655,135
Mideast,140100,4130,2738
Arab,100472,1968,1394
Arabic,145323,2706,1858
Other Arab,24710,379,348
Cameroonian,39642,1332,595
Cape Verdean,84083,11787,2459
Congolese,45053,1279,710
Ethiopian,224654,15630,3896
Eritrean,44128,1803,564
Gambian (2017 or later),7751,231,37
Ghanaian,121205,7946,2667
Guinean (2017 or later),4740,125,169
Kenyan,72853,5506,2058
Liberian,66790,4684,1022
Nigerian,375352,9146,10629
Senegalese,15577,494,319
Sierra Leonean,19641,1071,593
Somali,153823,2851,1986
South African,48355,2819,1288
Sudanese,56675,3176,1498
Togo (2017 or later),6724,272,88
Other Subsaharan African,89996,5241,2776
Ugandan,15308,725,676
Zimbabwean (2017 or later),4143,97,193
Western African,30920,2749,1046
African,1657820,118751,93704
Afghan,120388,1068,894
Bangladeshi,184617,851,1748
Bhutanese,31100,1184,133
Nepali,148262,4186,2141
Asian Indian,3190412,35190,50842
Bengali,47108,414,850
East Indian,72363,2170,699
Punjabi,34867,457,478
Pakistani,444593,3523,6190
Sri Lankan,49899,924,1084
Burmese,157789,4457,1608
Cambodian,222528,22459,3356
Chinese,3533857,126161,110425
Cantonese,13349,565,396
Mongolian,20012,1157,314
Tibetan,15680,906,290
Hong Kong (2017 or later),8571,355,285
Filipino,2633605,151360,53350
Indonesian,70472,2504,2281
Japanese,934988,51256,28878
Okinawan,12732,1086,206
Korean,1409796,49608,42321
Laotian,168960,22843,3082
Hmong,201474,32312,2882
Malaysian,27067,1115,912
Thai,200570,15563,4332
Taiwanese,299581,11831,6617
Vietnamese,1480552,72838,28267
Eurasian (2016 or earlier),4051,36,64
Asian,681383,24552,26401
Other Asian,23349,1041,1173
Australian,62065,5625,1929
New Zealander,13311,959,601
Polynesian,11490,1057,382
Hawaiian,303736,35752,11070
Samoan,99788,7471,4180
Tongan,39551,1642,1219
Micronesian,25559,4862,1305
Guamanian,36930,4160,1402
Chamorro,26376,3697,652
Palauan (2017 or later),4433,871,88
Marshallese,24640,5202,843
Fijian,27739,1034,344
Pacific Islander,42585,4484,2581
Other Pacific,15370,3239,793
Afro American,340737,26321,19713
Afro,18093,2297,978
African American,21769675,1874788,1231306
Black,3116169,249052,115967
Negro,25120,896,306
Creole,34722,3573,2445
Central American Indian,28720,2785,960
South American Indian,10463,1019,155
Native American,1639840,230826,70616
Indian,580433,56489,12883
Cherokee,573499,65364,21913
American Indian,2106822,249090,73066
Aleut (2016 or earlier),3090,242,40
Eskimo,43924,7913,1462
White,9872243,930907,209976
Anglo,340035,17848,4403
Appalachian,16577,1477,159
Pennsylvania German,231105,13084,2585
Canadian,418517,26525,10363
French Canadian,1332589,117080,23812
Acadian (2017 or later),4300,190,5
Cajun,75621,6575,1054
American,15747206,1072990,410139
United States,664027,31976,25752
New Mexico (2017 or later),3430,363,0
Texas,56139,3113,525
North American,24231,1600,127
Mixture,979612,73889,13749
Uncodable entries,4607113,367146,66621
Other groups,48304,3660,750
Other responses,1020037,48393,23356
Not reported,46937892,4258267,1832508