,N/A (Born in the US),Before 1950,1950 - 1959,1960 - 1969,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 or later
-> Suppressed for data year 2018 for select PUMAs,,,,,,,,,
us_citizen,26073,0,9556,14850,41696,50861,65462,31678,20755
not_us_citizen,,,0,,14369,15476,89441,35326,20192
-> Alsatian,,,,,,,,,
us_citizen,34742,,4706,44200,0,,,17700,
not_us_citizen,,,,,,14000,,,
-> Austrian,,,,,,,,,
us_citizen,39024,4304,13497,32399,58398,69451,68934,75762,6331
not_us_citizen,,0,9864,15927,34565,62969,92333,93090,62858
-> Basque,,,,,,,,,
us_citizen,36970,0,9580,23328,50342,93841,66427,37218,40098
not_us_citizen,,,0,20342,26056,66326,37446,97740,27196
-> Belgian,,,,,,,,,
us_citizen,34238,1890,11685,25825,67236,82630,70450,74303,35487
not_us_citizen,,0,16226,17870,55789,70594,101056,89972,48655
-> Flemish,,,,,,,,,
us_citizen,38246,0,59721,16020,42698,115682,104370,9833,-10001
not_us_citizen,,,,24442,0,48800,54467,73631,58407
-> British,,,,,,,,,
us_citizen,35362,4829,18263,37084,45956,66415,82394,80027,35141
not_us_citizen,,27,6620,19827,33402,67124,72339,89322,63311
-> British Isles,,,,,,,,,
us_citizen,32315,61828,33451,49679,60758,34602,55793,19949,-10001
not_us_citizen,,,,33318,18214,160000,42775,46836,40600
-> Danish,,,,,,,,,
us_citizen,30931,2170,20587,41276,60691,70988,60368,70634,24376
not_us_citizen,,2103,7211,10506,66071,65272,98427,83722,44145
-> Dutch,,,,,,,,,
us_citizen,28391,2697,18668,32829,49158,65789,70972,55630,20425
not_us_citizen,,14950,11451,23292,25848,52980,75973,81583,56604
-> English,,,,,,,,,
us_citizen,28025,6967,27531,42378,55041,67011,72458,55933,17111
not_us_citizen,,872,11130,19643,32205,58579,73612,72344,54103
-> Finnish,,,,,,,,,
us_citizen,28285,9246,32889,34143,48762,69329,69559,50388,7056
not_us_citizen,,0,1150,21988,16832,64881,87147,63854,44591
-> French,,,,,,,,,
us_citizen,26278,4307,22133,31062,46012,62090,69732,56624,26603
not_us_citizen,,8195,3836,17188,27186,50670,64621,75407,58170
-> German,,,,,,,,,
us_citizen,28863,5540,18795,33191,50801,53048,49470,39724,11293
not_us_citizen,,4255,6512,13036,24259,42353,60103,64721,46291
-> Prussian,,,,,,,,,
us_citizen,35824,0,23418,38000,38226,22826,37701,9191,-10001
not_us_citizen,,,,0,,,,0,0
-> Greek,,,,,,,,,
us_citizen,34851,5297,15381,26246,42569,74473,69063,60843,20212
not_us_citizen,,0,7064,16295,23148,34838,47082,81495,38556
-> Icelander,,,,,,,,,
us_citizen,33968,0,22676,31933,47848,66632,46229,35995,21654
not_us_citizen,,,28935,4881,10350,67072,90470,43877,40576
-> Irish,,,,,,,,,
us_citizen,30073,7772,23753,41996,57642,62717,64777,49741,8560
not_us_citizen,,8780,8203,13638,36665,64060,75897,77585,61500
-> Italian,,,,,,,,,
us_citizen,33183,1740,15846,30676,42269,57946,58239,49323,21034
not_us_citizen,,738,9368,15974,25017,38903,51517,55202,42194
-> Sicilian,,,,,,,,,
us_citizen,30110,1693,14056,31548,47897,23370,62036,18843,49944
not_us_citizen,,,6720,2279,18418,30530,13056,84677,9860
-> Luxembourger,,,,,,,,,
us_citizen,35771,0,55556,25675,12488,58753,41500,62308,5000
not_us_citizen,,0,,,40000,209000,180000,115000,38153
-> Maltese,,,,,,,,,
us_citizen,39907,199,11918,44998,28684,78493,34610,21538,-7779
not_us_citizen,,,-1496,8713,1269,21473,9631,125478,55940
-> Norwegian,,,,,,,,,
us_citizen,30903,7025,24904,44091,56567,82702,61041,30330,290
not_us_citizen,,14462,10037,19909,48927,92348,83463,85710,40669
-> Portuguese,,,,,,,,,
us_citizen,28057,8816,16155,26568,35180,43656,49722,44357,35467
not_us_citizen,,0,1623,18020,21692,35225,34583,41187,31110
-> Scotch Irish,,,,,,,,,
us_citizen,27149,9541,28757,53936,54058,49817,51341,22729,14513
not_us_citizen,,0,9558,17210,53181,36947,55080,74826,38264
-> Scottish,,,,,,,,,
us_citizen,33969,8520,26864,40442,60363,63430,70083,58891,17242
not_us_citizen,,0,8218,20006,35606,45783,77114,93641,61147
-> Swedish,,,,,,,,,
us_citizen,30541,5476,33587,43987,56727,66158,64651,51870,21146
not_us_citizen,,7815,2280,17806,62697,51615,71647,59935,50070
-> Swiss,,,,,,,,,
us_citizen,31169,4063,25438,37929,55212,67371,73364,45422,7663
not_us_citizen,,905,10010,20552,41076,36038,94349,80435,50722
-> Irish Scotch,,,,,,,,,
us_citizen,28392,3569,26073,51459,62212,63841,57896,51347,11
not_us_citizen,,0,16631,12803,30799,89931,92831,85464,35397
-> Welsh,,,,,,,,,
us_citizen,33181,6870,38083,44995,47046,57394,60926,33591,14026
not_us_citizen,,0,7734,22266,37319,55411,57153,55646,56872
-> Scandinavian,,,,,,,,,
us_citizen,32478,3445,18994,44743,72777,59632,46529,35274,47973
not_us_citizen,,,0,8453,5105,67416,76835,51794,58132
-> Celtic,,,,,,,,,
us_citizen,26105,10667,5650,27733,67292,46552,126657,57273,0
not_us_citizen,,,,311839,39626,128267,63209,30500,54623
-> Albanian,,,,,,,,,
us_citizen,12150,225,8740,23015,42623,46099,43199,31692,20276
not_us_citizen,,0,0,3812,11669,34503,22958,24086,13157
-> Belorussian,,,,,,,,,
us_citizen,30513,3106,15319,40763,48425,74603,57544,46122,43326
not_us_citizen,,,41892,,8679,22488,34927,36214,33300
-> Bulgarian,,,,,,,,,
us_citizen,13154,5843,4140,18276,35407,44171,59791,41394,21968
not_us_citizen,,,0,5326,8226,60000,46088,51795,25490
-> Croatian,,,,,,,,,
us_citizen,36021,6399,7650,30172,46250,45993,60044,36855,22220
not_us_citizen,,,14608,4322,14082,67503,52111,81230,52222
-> Czech,,,,,,,,,
us_citizen,33656,3302,18179,25019,44143,52472,80743,32951,17227
not_us_citizen,,125000,0,0,73641,32637,48388,53144,33461
-> Bohemian,,,,,,,,,
us_citizen,27360,0,33220,35000,31779,34479,48544,17375,5752
not_us_citizen,,,,,8875,,15244,34970,15044
-> Czechoslovakian,,,,,,,,,
us_citizen,32936,3279,19641,34886,52569,48537,64410,15302,34896
not_us_citizen,,,0,4111,47852,9613,58372,44285,92912
-> Estonian,,,,,,,,,
us_citizen,36625,6981,9676,20278,52076,52845,67481,56851,-8164
not_us_citizen,,0,0,64193,0,21447,35017,36775,30721
-> German Russian,,,,,,,,,
us_citizen,18897,0,0,8488,36761,46702,29444,9191,-7101
not_us_citizen,,,,,,28000,16800,39314,
-> Rom,,,,,,,,,
us_citizen,19475,,0,0,50000,31717,24103,1845,902
not_us_citizen,,,,0,,1643,35240,34109,16906
-> Hungarian,,,,,,,,,
us_citizen,31914,11032,18035,30819,45635,51073,66622,57421,12161
not_us_citizen,,0,10419,20526,31572,29815,57124,39290,33427
-> Latvian,,,,,,,,,
us_citizen,42569,6188,9826,19039,93980,50904,44828,35840,6965
not_us_citizen,,7844,3213,41223,36214,91783,45593,22611,19478
-> Lithuanian,,,,,,,,,
us_citizen,37258,4463,9105,30250,56808,80885,53796,33483,20937
not_us_citizen,,0,5549,6093,21517,86760,47358,35721,27540
-> Macedonian,,,,,,,,,
us_citizen,29999,0,8744,31390,25862,37613,47346,41337,23686
not_us_citizen,,,0,6753,17784,38143,81663,22068,28641
-> Montenegrin,,,,,,,,,
us_citizen,17607,,0,0,53552,35428,47106,24818,10483
not_us_citizen,,,15079,0,15463,34877,33733,34401,16566
-> Polish,,,,,,,,,
us_citizen,32009,14171,19391,33003,41522,48734,48939,40478,20922
not_us_citizen,,3270,9944,22447,20940,28451,33614,33839,35003
-> Romanian,,,,,,,,,
us_citizen,26931,9592,16914,31585,50737,47047,53313,47204,32263
not_us_citizen,,0,1946,1801,13680,30014,47874,48971,35236
-> Moldavian,,,,,,,,,
us_citizen,3255,,6121,0,21772,50393,44450,32028,22980
not_us_citizen,,,,0,,,28954,29759,23661
-> Russian,,,,,,,,,
us_citizen,41362,7535,14202,38524,58905,58341,51984,27112,19465
not_us_citizen,,0,12602,28801,19126,29838,39432,34553,26124
-> Serbian,,,,,,,,,
us_citizen,29908,18741,14906,26718,45376,62997,60784,46360,20725
not_us_citizen,,,2653,78865,11330,37813,56817,57306,35441
-> Slovak,,,,,,,,,
us_citizen,31597,8207,12587,41701,84990,43741,60959,39829,16620
not_us_citizen,,,0,410,85084,19914,34825,50548,38841
-> Slovene,,,,,,,,,
us_citizen,35477,14062,1544,33849,52699,38697,71472,69906,41139
not_us_citizen,,,7548,0,32772,120358,86152,83826,40651
-> Turkestani,,,,,,,,,
us_citizen,-3428,,0,0,66818,98167,38340,11832,18697
not_us_citizen,,,,100000,40000,31452,23641,42777,15579
-> Uzbeg,,,,,,,,,
us_citizen,-5591,,35351,1454,53511,36417,39032,32332,13713
not_us_citizen,,,,,,15838,26910,25113,11707
-> Georgia CIS,,,,,,,,,
us_citizen,9108,0,0,6117,142051,69232,45673,35245,8455
not_us_citizen,,,,,20915,31700,40680,28052,21733
-> Ukrainian,,,,,,,,,
us_citizen,32943,7802,20941,30797,47798,49344,45513,32107,21815
not_us_citizen,,11472,11929,32615,55924,28848,33876,31805,23164
-> Yugoslavian,,,,,,,,,
us_citizen,28671,0,4964,19811,29349,33252,42428,52453,35582
not_us_citizen,,0,2855,13047,7204,13092,46564,13883,28714
-> Bosnian and Herzegovinian,,,,,,,,,
us_citizen,-3695,0,36785,20198,69190,40346,36202,33182,20560
not_us_citizen,,,0,,0,18974,27444,24159,19642
-> Slavic,,,,,,,,,
us_citizen,30566,0,24701,40539,48475,78754,42838,36999,4614
not_us_citizen,,,30316,45918,306000,45000,25207,36865,14724
-> Slavonian,,,,,,,,,
us_citizen,30408,0,11000,,0,52000,,15803,80000
not_us_citizen,,,,,,,,,
-> Central European,,,,,,,,,
us_citizen,41042,0,57812,48599,57600,31614,20384,18970,10222
not_us_citizen,,,0,60000,0,50000,124127,33359,26194
-> Northern European,,,,,,,,,
us_citizen,40549,2624,98294,69471,97779,78491,71905,29109,-327
not_us_citizen,,,0,3176,13455,137871,139253,83077,87786
-> Southern European,,,,,,,,,
us_citizen,35485,166408,8306,97018,53160,110535,117011,30948,22098
not_us_citizen,,,,,,19200,21450,64516,42116
-> Western European,,,,,,,,,
us_citizen,38381,2256,38738,64582,61061,59109,64215,29219,3170
not_us_citizen,,0,8947,15586,45735,60021,68224,63191,20129
-> Eastern European,,,,,,,,,
us_citizen,56110,31427,39110,70334,92917,111432,89708,35054,28386
not_us_citizen,,0,221,56745,94586,63872,71070,76369,63274
-> Germanic,,,,,,,,,
us_citizen,31772,0,13904,49059,46468,27993,53682,35796,49210
not_us_citizen,,,0,500,0,14411,70767,87550,16678
-> European,,,,,,,,,
us_citizen,33116,29108,40836,47605,66376,63715,59529,33324,7400
not_us_citizen,,0,23754,32250,49106,61894,66018,64190,50223
-> Spaniard,,,,,,,,,
us_citizen,21349,2059,13356,24639,29765,37670,43187,37825,17828
not_us_citizen,,0,539,24718,21285,28869,32076,31036,26914
-> Mexican,,,,,,,,,
us_citizen,9490,2559,10722,17591,26580,31573,29647,24463,13235
not_us_citizen,,1046,5530,11071,17191,21921,20819,16896,14015
-> Mexican American,,,,,,,,,
us_citizen,7469,2387,9878,18484,27031,30559,27757,18637,10498
not_us_citizen,,308,15005,19615,16411,20752,21571,15462,10039
-> Mexicano,,,,,,,,,
us_citizen,-957,237,3643,9404,18317,26717,23318,17920,9780
not_us_citizen,,0,8557,8932,14442,22103,19307,15668,12775
-> Chicano,,,,,,,,,
us_citizen,12799,,78000,55370,25912,23224,,,36683
not_us_citizen,,,,,57000,55294,,-3836,25333
-> Mexican American Indian,,,,,,,,,
us_citizen,13909,1706,11228,22365,31548,32594,43565,12482,-1052
not_us_citizen,,,0,25445,15100,23028,22199,18087,13713
-> Mexican State,,,,,,,,,
us_citizen,8859,1056,9038,15728,24177,29331,28544,23699,10271
not_us_citizen,,0,3450,9760,16257,23486,21142,17029,13878
-> Mexican Indian,,,,,,,,,
us_citizen,11967,0,26709,8735,27315,42551,24012,38579,30112
not_us_citizen,,,,3301,26621,20364,24728,14461,13754
-> Costa Rican,,,,,,,,,
us_citizen,14800,0,9169,26498,32204,35276,38749,32147,15157
not_us_citizen,,,0,8693,27051,24593,30407,20066,19115
-> Guatemalan,,,,,,,,,
us_citizen,613,0,24102,18932,23152,32219,31026,11867,8996
not_us_citizen,,,296,13594,16481,22471,21692,18183,11582
-> Honduran,,,,,,,,,
us_citizen,-336,0,2614,22124,26593,29035,28946,28251,12714
not_us_citizen,,5200,0,21305,20634,21777,24041,19010,7747
-> Nicaraguan,,,,,,,,,
us_citizen,10165,1305,7907,13850,35829,33762,30037,25351,16724
not_us_citizen,,15392,3164,16281,22388,29444,21998,19486,12741
-> Panamanian,,,,,,,,,
us_citizen,17151,208,13319,22048,33852,40399,34551,25818,12163
not_us_citizen,,,8478,13556,29750,23631,21940,23402,11656
-> Salvadoran,,,,,,,,,
us_citizen,3060,3838,6103,14624,24686,32020,32046,25274,12903
not_us_citizen,,9906,4058,18799,17857,22835,25692,19414,9757
-> Central American,,,,,,,,,
us_citizen,13947,0,7159,20512,28407,36577,36286,13104,13408
not_us_citizen,,,,2244,17440,24825,20127,15990,6405
-> Argentinean,,,,,,,,,
us_citizen,19711,0,27734,34833,42290,48334,59544,44596,22041
not_us_citizen,,0,0,13433,14264,31833,31015,29602,33712
-> Bolivian,,,,,,,,,
us_citizen,11942,0,36053,32506,39516,48368,36780,32435,10867
not_us_citizen,,,10488,6750,32867,32484,25651,27070,15206
-> Chilean,,,,,,,,,
us_citizen,18425,0,16623,20680,38933,41780,39060,32836,15441
not_us_citizen,,0,294,7699,37374,34440,31736,29385,22018
-> Colombian,,,,,,,,,
us_citizen,14561,12717,8674,28185,31159,37227,39387,32245,17294
not_us_citizen,,0,1589,12481,14060,20560,24563,25313,14297
-> Ecuadorian,,,,,,,,,
us_citizen,8413,2571,15154,23281,27200,34254,34996,25991,14928
not_us_citizen,,0,3068,13821,19673,24911,26514,23793,15711
-> Paraguayan,,,,,,,,,
us_citizen,11241,,0,12138,22643,43689,24395,27884,4752
not_us_citizen,,,,81703,53592,30294,28863,38946,17283
-> Peruvian,,,,,,,,,
us_citizen,9686,0,9904,17011,36960,35655,40700,28573,13342
not_us_citizen,,0,2819,14729,18361,27977,26565,24318,13056
-> Uruguayan,,,,,,,,,
us_citizen,13030,40000,11586,41912,25647,37145,43553,32817,11541
not_us_citizen,,,,8657,11931,25947,33028,25615,28299
-> Venezuelan,,,,,,,,,
us_citizen,6579,9590,17658,20978,54903,52586,44204,37143,20208
not_us_citizen,,,,5906,26993,21168,28466,26138,13909
-> South American,,,,,,,,,
us_citizen,21015,,19525,29986,37861,55434,33195,25501,31002
not_us_citizen,,,0,55588,33679,34982,36660,26255,17466
-> Latin American,,,,,,,,,
us_citizen,6851,1905,4266,24405,28719,38137,29410,27024,9568
not_us_citizen,,,,0,0,27776,47055,31288,16008
-> Latin,,,,,,,,,
us_citizen,14294,10319,18273,23156,28879,35601,36856,29359,13604
not_us_citizen,,,,6749,25830,18911,24203,21023,17798
-> Latino,,,,,,,,,
us_citizen,11436,5790,14247,20643,31812,35591,36368,24713,11141
not_us_citizen,,,10483,21282,19327,22664,23226,21122,12322
-> Puerto Rican,,,,,,,,,
us_citizen,15462,2003,8588,14378,23151,29031,25728,18000,10867
not_us_citizen,,,0,30360,25356,43456,17424,26207,12671
-> Cuban,,,,,,,,,
us_citizen,21003,4759,11413,31306,28945,25587,27290,22878,16019
not_us_citizen,,0,3037,17267,14546,15090,20590,18765,13964
-> Dominican,,,,,,,,,
us_citizen,7664,7255,3689,15809,24222,28555,28795,21688,10833
not_us_citizen,,0,2765,12633,15913,19468,18402,16109,10579
-> Hispanic,,,,,,,,,
us_citizen,12130,2380,12164,22920,27476,33756,31727,25348,12270
not_us_citizen,,2262,8766,15281,18632,23666,21697,17776,12598
-> Spanish,,,,,,,,,
us_citizen,19379,7728,15585,30850,34920,42162,38711,31043,14889
not_us_citizen,,10275,5575,14268,21771,24870,25288,23850,23537
-> Spanish American,,,,,,,,,
us_citizen,13915,0,20186,39869,48798,31072,31804,16085,16730
not_us_citizen,,,,0,0,0,19332,21948,63230
-> Bahamian,,,,,,,,,
us_citizen,15339,0,5883,14131,32787,32178,56436,28855,25150
not_us_citizen,,,,5202,17000,26774,23841,23833,8774
-> Barbadian,,,,,,,,,
us_citizen,21566,0,11387,8531,35793,40200,53292,56774,25377
not_us_citizen,,,0,15357,25005,32476,33239,30247,31300
-> Belizean,,,,,,,,,
us_citizen,12875,0,9976,13356,34128,39072,44667,36008,13413
not_us_citizen,,,60000,7505,20360,33262,26278,18406,15312
-> Jamaican,,,,,,,,,
us_citizen,12295,4041,6397,18791,35063,43072,38475,32420,21226
not_us_citizen,,1123,4392,14196,24435,28111,27206,25023,14002
-> Dutch West Indian,,,,,,,,,
us_citizen,19593,,0,15692,62785,32467,40254,82854,1140
not_us_citizen,,,0,,59214,99421,29032,11596,13420
-> Trinidadian Tobagonian,,,,,,,,,
us_citizen,13604,4007,5298,23582,33681,40394,41451,43140,24426
not_us_citizen,,,0,10910,26823,30459,27290,29248,19578
-> British West Indian,,,,,,,,,
us_citizen,20864,741,0,17321,28115,34756,55136,26702,22558
not_us_citizen,,,0,10272,22014,21942,36093,31539,11906
-> Antigua and Barbuda,,,,,,,,,
us_citizen,14657,,0,16845,24203,45335,45808,34123,26731
not_us_citizen,,,,4457,17900,29066,30842,32018,19983
-> Grenadian,,,,,,,,,
us_citizen,18069,0,2202,18409,34577,45323,52176,28175,48389
not_us_citizen,,,10465,0,22199,29016,22985,22925,18759
-> Vincent-Grenadine Islander,,,,,,,,,
us_citizen,10160,,31912,35856,26882,42186,41802,32232,25729
not_us_citizen,,,,,27353,12572,20842,24540,11520
-> St Lucia Islander,,,,,,,,,
us_citizen,12474,0,,13631,23880,45917,42516,34122,19908
not_us_citizen,,,,,69766,20002,30941,21342,18943
-> West Indian,,,,,,,,,
us_citizen,17826,0,9407,21579,37818,41216,40144,30416,18546
not_us_citizen,,0,39900,9397,25024,31423,27240,26835,18583
-> Haitian,,,,,,,,,
us_citizen,7315,0,4529,22213,29179,33929,33615,24034,11334
not_us_citizen,,3631,4297,6915,15611,21069,22606,17782,9450
-> Other West Indian,,,,,,,,,
us_citizen,23282,17085,898,22490,28366,43831,47145,23605,11071
not_us_citizen,,,1893,22577,27964,30081,39664,16662,13981
