,N/A (Born in the US),Before 1950,1950 - 1959,1960 - 1969,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 or later
-> Brazilian,,,,,,,,,
us_citizen,4597,0,9557,29792,39711,39770,48535,37006,18209
not_us_citizen,,0,4602,26220,10349,31769,30804,31300,19771
-> Guyanese,,,,,,,,,
us_citizen,11777,7040,2412,16827,34190,36656,35240,31971,25012
not_us_citizen,,0,3000,15158,19680,26527,25738,22275,13392
-> Algerian,,,,,,,,,
us_citizen,2037,,0,5800,75863,89260,49702,36418,20536
not_us_citizen,,,0,0,20000,59274,43756,33781,22177
-> Egyptian,,,,,,,,,
us_citizen,15364,1860,11038,61260,51762,64479,63068,32489,13388
not_us_citizen,,,0,2697,30725,23287,26828,24258,14771
-> Libyan (2017 or later),,,,,,,,,
us_citizen,20505,,30526,,43061,38436,34536,46188,2182
not_us_citizen,,,,,,,32000,9658,5250
-> Moroccan,,,,,,,,,
us_citizen,5853,561,26569,51101,78219,66871,44350,33509,15314
not_us_citizen,,0,0,,4104,21114,26109,29935,18015
-> North African,,,,,,,,,
us_citizen,10057,,138462,35038,30364,84296,69981,43694,10993
not_us_citizen,,,,,,11002,29015,50816,21724
-> Iranian,,,,,,,,,
us_citizen,26875,34977,22018,43054,77234,68750,61435,40788,24698
not_us_citizen,,0,0,7574,34768,34875,40904,51694,22695
-> Iraqi,,,,,,,,,
us_citizen,10374,268,6829,20475,43060,58860,29936,19057,15264
not_us_citizen,,0,0,2168,10827,0,27064,9871,8590
-> Israeli,,,,,,,,,
us_citizen,23077,235,38091,52472,64140,71210,78484,60447,29388
not_us_citizen,,,,4395,51019,39308,63689,55382,37499
-> Jordanian,,,,,,,,,
us_citizen,7099,898,20679,47526,34671,60372,41888,29846,11088
not_us_citizen,,,,,44390,27907,27197,33674,14367
-> Kuwaiti (2017 or later),,,,,,,,,
us_citizen,-2335,,,60000,1800,305000,40498,15426,40000
not_us_citizen,,,,,0,,153280,12145,-336
-> Lebanese,,,,,,,,,
us_citizen,33407,8296,32058,45205,58648,76266,54029,43382,23913
not_us_citizen,,130000,0,1040,25204,51535,38463,52713,31615
-> Saudi Arabian,,,,,,,,,
us_citizen,2564,,,,180468,51954,20504,11476,6210
not_us_citizen,,,,0,,0,20124,29264,2222
-> Syrian,,,,,,,,,
us_citizen,27508,25099,27015,37965,44673,67455,77958,31430,21598
not_us_citizen,,0,0,4200,3885,13499,32759,62053,7146
-> Armenian,,,,,,,,,
us_citizen,29442,3107,16371,38762,46419,44719,37474,25415,21836
not_us_citizen,,0,12832,15863,24530,28632,28311,25006,13298
-> Turkish,,,,,,,,,
us_citizen,18223,0,56948,38778,55239,75603,71422,44383,22762
not_us_citizen,,0,0,31182,46876,44427,52890,43698,24310
-> Yemeni,,,,,,,,,
us_citizen,-3772,0,0,13647,18929,27296,21111,13498,-1742
not_us_citizen,,,,0,0,4225,10976,10354,6074
-> Kurdish,,,,,,,,,
us_citizen,-563,,4078,15634,46569,44495,28882,41630,9610
not_us_citizen,,,,,112043,0,11376,35127,14089
-> Palestinian,,,,,,,,,
us_citizen,18394,15932,15881,32568,42778,54761,38697,37073,1294
not_us_citizen,,,114000,0,6560,22213,27445,25430,11308
-> Assyrian,,,,,,,,,
us_citizen,25589,1314,207,13875,55945,36166,34285,18416,13376
not_us_citizen,,,,,20423,51387,18310,19896,19881
-> Chaldean,,,,,,,,,
us_citizen,11750,175610,4800,18124,38327,44815,26141,9498,6908
not_us_citizen,,,0,270,0,27637,7616,16644,5224
-> Mideast,,,,,,,,,
us_citizen,20093,0,8687,57407,68713,62028,60668,37925,13789
not_us_citizen,,,0,2377,29905,91448,42991,45061,16082
-> Arab,,,,,,,,,
us_citizen,9174,30714,2625,31459,44792,47951,42431,28281,7439
not_us_citizen,,0,,0,98250,30100,33158,24661,6383
-> Arabic,,,,,,,,,
us_citizen,7461,0,4406,33298,42773,46145,38301,19126,4099
not_us_citizen,,,0,11616,10988,30335,24143,18080,6121
-> Other Arab,,,,,,,,,
us_citizen,7503,,0,285162,37920,61162,51413,46595,7858
not_us_citizen,,,,0,8842,76295,16496,42138,13158
-> Cameroonian,,,,,,,,,
us_citizen,3313,,57800,,60794,73308,61808,41101,19037
not_us_citizen,,,,,11027,47943,45542,34183,13971
-> Cape Verdean,,,,,,,,,
us_citizen,14748,0,1924,17293,34524,29062,29541,26499,15957
not_us_citizen,,,,0,15563,21207,24787,21551,10386
-> Congolese,,,,,,,,,
us_citizen,38,,,,28631,37139,40855,25269,11876
not_us_citizen,,,,,2367,17509,20996,15556,6703
-> Ethiopian,,,,,,,,,
us_citizen,-2122,0,0,21391,48073,44670,41420,26298,8699
not_us_citizen,,,150000,2800,38705,27071,32577,21439,12681
-> Eritrean,,,,,,,,,
us_citizen,3414,,35000,90918,53313,42711,41752,20373,14944
not_us_citizen,,,,10500,39619,16437,40987,29842,9733
-> Gambian (2017 or later),,,,,,,,,
us_citizen,1511,,,0,19202,37602,59170,47712,1523
not_us_citizen,,,,,,10593,19218,26905,15927
-> Ghanaian,,,,,,,,,
us_citizen,7026,,25939,49603,45960,59538,53686,36279,18614
not_us_citizen,,,0,33543,21520,31495,41249,30686,16576
-> Guinean (2017 or later),,,,,,,,,
us_citizen,-7240,,,,,36678,35943,30583,3434
not_us_citizen,,,,15000,,0,19400,20415,8021
-> Kenyan,,,,,,,,,
us_citizen,-1273,,,0,31967,74911,58861,37041,14301
not_us_citizen,,,,24128,27669,51726,51417,30765,14892
-> Liberian,,,,,,,,,
us_citizen,-1964,,0,2333,28989,39870,37762,25080,19842
not_us_citizen,,,,2000,17146,22960,29361,19314,13559
-> Nigerian,,,,,,,,,
us_citizen,10273,,9438,27763,50352,67944,64296,45505,24001
not_us_citizen,,,230371,59000,39264,46126,46812,30655,14464
-> Senegalese,,,,,,,,,
us_citizen,-1503,,,,17429,38029,65648,45829,11803
not_us_citizen,,,,1700,57535,24179,25924,30389,14343
-> Sierra Leonean,,,,,,,,,
us_citizen,14174,,0,8397,23602,42937,45619,38614,13976
not_us_citizen,,,,,40875,39283,32104,29981,11471
-> Somali,,,,,,,,,
us_citizen,-7154,0,,0,36530,44232,25959,13930,6299
not_us_citizen,,,39675,,10000,14946,20201,11080,4681
-> South African,,,,,,,,,
us_citizen,15899,0,29496,36686,58343,82624,79310,64979,39253
not_us_citizen,,,,,29699,102170,50445,44230,43790
-> Sudanese,,,,,,,,,
us_citizen,-4267,,,3873,68522,49330,34878,19710,4164
not_us_citizen,,,,,0,19152,24080,17816,8024
-> Togo (2017 or later),,,,,,,,,
us_citizen,-3277,,,,,0,72794,42130,21490
not_us_citizen,,,,,,28500,45719,19568,6186
-> Other Subsaharan African,,,,,,,,,
us_citizen,2963,,,28335,33859,43491,53278,31062,13482
not_us_citizen,,,0,0,41348,34068,38552,26047,10939
-> Ugandan,,,,,,,,,
us_citizen,4580,,,0,15560,45787,57631,36200,7190
not_us_citizen,,,,,0,24947,51819,48387,17362
-> Zimbabwean (2017 or later),,,,,,,,,
us_citizen,3805,,,0,0,82112,91987,30704,446
not_us_citizen,,,,,13700,0,73560,39905,18938
-> Western African,,,,,,,,,
us_citizen,18671,0,,75206,51400,37752,42708,35896,32275
not_us_citizen,,,,557,13720,36270,32839,30480,16855
-> African,,,,,,,,,
us_citizen,13636,0,21227,27975,41187,54340,46562,32208,16627
not_us_citizen,,0,48763,11693,22035,33568,34888,27022,13666
-> Afghan,,,,,,,,,
us_citizen,2968,0,28456,18902,46256,43500,33555,22428,11550
not_us_citizen,,,,0,32633,22015,16062,12923,6386
-> Bangladeshi,,,,,,,,,
us_citizen,-1864,0,60000,21772,39220,53841,44529,24237,18013
not_us_citizen,,,0,,5350,24672,26522,22622,13435
-> Bhutanese,,,,,,,,,
us_citizen,-9481,,,,,0,20713,16542,12028
not_us_citizen,,,,,,,10031,14760,11922
-> Nepali,,,,,,,,,
us_citizen,-7596,,,0,36984,69813,60939,33104,20189
not_us_citizen,,0,,7045,1612,51280,34621,37019,12557
-> Asian Indian,,,,,,,,,
us_citizen,15583,897,17593,45903,67412,79692,85474,61556,32268
not_us_citizen,,0,20499,23475,28191,50990,69043,76078,40312
-> Bengali,,,,,,,,,
us_citizen,4016,,,59692,58322,53310,36516,24317,10655
not_us_citizen,,,,0,75429,23770,13661,17448,12885
-> East Indian,,,,,,,,,
us_citizen,23170,0,7551,37573,56898,64685,58428,45174,21530
not_us_citizen,,,,12659,19201,32110,41141,62957,36118
-> Punjabi,,,,,,,,,
us_citizen,11430,,,70067,34349,52859,39516,32312,16063
not_us_citizen,,,,0,2424,26805,37201,39462,15338
-> Pakistani,,,,,,,,,
us_citizen,9213,0,20159,45590,58136,57357,57788,35097,14166
not_us_citizen,,,,73916,39827,26456,35804,35698,16487
-> Sri Lankan,,,,,,,,,
us_citizen,18464,,0,67743,72233,71493,66514,39334,27578
not_us_citizen,,,,0,107667,36185,41989,42202,25087
-> Burmese,,,,,,,,,
us_citizen,-5912,0,36358,17475,40662,44070,53935,21187,13855
not_us_citizen,,,,3000,97972,27039,24972,12756,8013
-> Cambodian,,,,,,,,,
us_citizen,9235,0,5767,9160,28089,31534,28878,24179,11363
not_us_citizen,,,14076,10000,18143,20491,18237,13569,7944
-> Chinese,,,,,,,,,
us_citizen,24170,4759,18691,32443,45083,54742,57396,31159,14862
not_us_citizen,,64,5521,25498,18054,28801,44607,42903,20228
-> Cantonese,,,,,,,,,
us_citizen,30832,0,1703,26334,38375,41381,38456,19578,23385
not_us_citizen,,0,,0,59179,3261,39699,23136,12918
-> Mongolian,,,,,,,,,
us_citizen,4855,,24476,0,2467,19490,53776,33455,31411
not_us_citizen,,,,20000,5331,30000,31503,24940,10940
-> Tibetan,,,,,,,,,
us_citizen,-554,,,18519,23916,34914,44616,26716,16395
not_us_citizen,,,,,,38267,22529,21083,8742
-> Hong Kong (2017 or later),,,,,,,,,
us_citizen,28611,,0,33812,70937,64557,51076,42815,36704
not_us_citizen,,,,,,43298,43353,55008,41242
-> Filipino,,,,,,,,,
us_citizen,18642,2765,10827,22255,33673,45333,44947,36584,18839
not_us_citizen,,1311,4803,14469,21449,28177,31216,29205,16672
-> Indonesian,,,,,,,,,
us_citizen,12076,,15565,29776,43598,49146,43100,35914,21437
not_us_citizen,,,0,11634,34164,35057,37798,27632,17642
-> Japanese,,,,,,,,,
us_citizen,30765,1038,21442,29619,37092,42558,43182,26855,4421
not_us_citizen,,0,16738,8527,21653,47821,46590,36844,37762
-> Okinawan,,,,,,,,,
us_citizen,26575,0,17724,15669,32202,20861,31399,126274,-7060
not_us_citizen,,,0,8696,8917,43765,22325,14213,6517
-> Korean,,,,,,,,,
us_citizen,21622,847,25999,28311,49408,46466,43318,29206,16053
not_us_citizen,,0,8725,5962,21357,25123,35031,32050,20917
-> Laotian,,,,,,,,,
us_citizen,8384,0,18148,6738,29898,33436,24826,25686,27145
not_us_citizen,,,,0,18454,22526,20460,17718,10917
-> Hmong,,,,,,,,,
us_citizen,6527,0,0,9626,32540,33076,23431,13779,23185
not_us_citizen,,,,0,23992,24620,24274,10152,11046
-> Malaysian,,,,,,,,,
us_citizen,12228,,12414,14554,20841,61341,75941,45955,35473
not_us_citizen,,,,3200,40161,30705,45940,60082,21817
-> Thai,,,,,,,,,
us_citizen,20385,0,10209,11980,24973,38779,38570,25409,11601
not_us_citizen,,0,0,9055,9799,30742,31894,20374,10809
-> Taiwanese,,,,,,,,,
us_citizen,36016,6261,13334,29092,51548,61677,60554,43417,12811
not_us_citizen,,0,,6266,22385,35924,34257,49319,27189
-> Vietnamese,,,,,,,,,
us_citizen,10600,0,11941,29102,47157,43913,33170,22687,14811
not_us_citizen,,0,1242,5120,21174,20470,20306,19723,10992
-> Eurasian (2016 or earlier),,,,,,,,,
us_citizen,16948,0,85882,58963,24718,14625,50933,15943,-4186
not_us_citizen,,,,,25000,0,17316,65512,-7180
-> Asian,,,,,,,,,
us_citizen,13043,26312,14615,26335,39929,49444,49014,35006,19732
not_us_citizen,,0,1956,25489,17943,25106,39347,41760,21801
-> Other Asian,,,,,,,,,
us_citizen,15007,0,36148,30587,31548,70123,41996,29905,12619
not_us_citizen,,,,,8634,63289,64299,52774,30150
-> Australian,,,,,,,,,
us_citizen,22937,2147,11382,25075,53122,89810,113286,62178,13415
not_us_citizen,,207,18000,8489,28428,46930,79931,76793,59109
-> New Zealander,,,,,,,,,
us_citizen,21425,0,17082,34678,39539,99094,120672,81903,26619
not_us_citizen,,,0,-55,32082,57596,65745,60355,67451
-> Polynesian,,,,,,,,,
us_citizen,15174,,19800,18035,28966,31209,52961,15989,12604
not_us_citizen,,,,,36030,19376,27599,30079,16023
-> Hawaiian,,,,,,,,,
us_citizen,19287,,34820,25200,43988,38451,22397,12277,7718
not_us_citizen,,,,,0,,,93617,8386
-> Samoan,,,,,,,,,
us_citizen,10795,31034,4897,13747,31855,31268,26718,20281,11352
not_us_citizen,,,0,8879,18165,22220,27351,23455,18402
-> Tongan,,,,,,,,,
us_citizen,8779,,7512,17769,24311,21616,31930,23436,9103
not_us_citizen,,,35000,3500,26853,23870,23728,19695,13169
-> Micronesian,,,,,,,,,
us_citizen,-3774,,0,32937,51508,28975,39181,15894,8784
not_us_citizen,,,,,6098,26575,23231,14003,11869
-> Guamanian,,,,,,,,,
us_citizen,17235,2281,9379,23179,39296,35020,28195,24571,9047
not_us_citizen,,,,0,,,6655,27770,15578
-> Chamorro,,,,,,,,,
us_citizen,18862,0,13853,27788,30977,40285,34750,27814,15125
not_us_citizen,,,,,,62000,,89000,0
-> Palauan (2017 or later),,,,,,,,,
us_citizen,7202,,,3448,24219,21854,27511,32025,19268
not_us_citizen,,,,9100,54014,44045,23189,24330,6375
-> Marshallese,,,,,,,,,
us_citizen,-5392,,,120,0,30304,17299,10390,2920
not_us_citizen,,,,0,0,15735,17069,13372,13740
-> Fijian,,,,,,,,,
us_citizen,8055,0,0,20004,66713,40019,43869,32988,29765
not_us_citizen,,,,,33855,24814,19353,32736,17365
-> Pacific Islander,,,,,,,,,
us_citizen,18204,0,21076,31717,41918,42838,28937,23113,13829
not_us_citizen,,,,44507,28143,29023,23267,16512,14884
-> Other Pacific,,,,,,,,,
us_citizen,6297,0,14000,18207,32723,63816,49016,17396,12169
not_us_citizen,,,44357,0,11648,11354,19182,17825,9397
-> Afro American,,,,,,,,,
us_citizen,12176,0,1838,12370,16396,36061,32564,14693,2994
not_us_citizen,,,,0,22201,51506,9733,67088,1284
-> Afro,,,,,,,,,
us_citizen,11998,0,26104,53461,46663,74904,52784,52953,9870
not_us_citizen,,,,31600,15503,42911,74773,38797,32899
-> African American,,,,,,,,,
us_citizen,14699,6647,27102,35211,46388,37215,32537,25641,11443
not_us_citizen,,0,22057,18011,26376,29826,25371,24810,13077
-> Black,,,,,,,,,
us_citizen,13853,0,19483,25168,35058,37785,42768,26571,9914
not_us_citizen,,15000,362,15426,21490,29306,28735,25716,12758
-> Negro,,,,,,,,,
us_citizen,13140,0,25000,39167,24837,24209,11237,41200,18286
not_us_citizen,,,,24733,0,,12500,11060,15960
-> Creole,,,,,,,,,
us_citizen,19171,,,18162,10830,46412,0,-6668,28506
not_us_citizen,,,,45000,0,7538,,2732,33884
-> Central American Indian,,,,,,,,,
us_citizen,5851,,25656,14738,23661,38324,28815,1839,-2030
not_us_citizen,,,,0,11480,19766,26093,16963,9354
-> South American Indian,,,,,,,,,
us_citizen,10963,0,0,33259,30621,44755,46090,19980,5924
not_us_citizen,,,0,80000,2947,15540,26270,18351,23512
-> Native American,,,,,,,,,
us_citizen,16716,7808,17160,33302,51039,30706,34696,21551,6395
not_us_citizen,,2057,0,30286,43921,32856,29791,17211,20462
-> Indian,,,,,,,,,
us_citizen,15388,0,8886,10846,26709,43761,41446,61285,14449
not_us_citizen,,0,,0,36400,14167,63340,13092,7988
-> Cherokee,,,,,,,,,
us_citizen,15768,85000,13409,34084,50174,26185,25337,-828,387
not_us_citizen,,,,,95000,0,,,
-> American Indian,,,,,,,,,
us_citizen,15284,1785,13859,40484,34201,35546,28711,13879,14870
not_us_citizen,,1280,45082,9475,10979,14282,27245,27055,15596
-> Aleut (2016 or earlier),,,,,,,,,
us_citizen,16654,,,,,,,,
not_us_citizen,,,,,,,,,
-> Eskimo,,,,,,,,,
us_citizen,10046,,,0,,34000,24396,,0
not_us_citizen,,,,,,35000,,32500,0
-> White,,,,,,,,,
us_citizen,20949,9903,30733,44780,57453,52235,43635,32711,10848
not_us_citizen,,0,6955,24041,22600,45164,52695,53929,39505
-> Anglo,,,,,,,,,
us_citizen,31571,6008,25938,35638,48413,85192,78668,24469,4427
not_us_citizen,,27000,19660,21595,45618,42322,58560,86463,60610
-> Appalachian,,,,,,,,,
us_citizen,26990,,0,,0,,,,37300
not_us_citizen,,,,,,,,0,
-> Pennsylvania German,,,,,,,,,
us_citizen,17630,,12039,31969,43953,18524,24045,7169,-10001
not_us_citizen,,,,0,10000,9158,42752,21046,15984
-> Canadian,,,,,,,,,
us_citizen,26440,5520,15081,30794,46730,68922,69987,58509,29943
not_us_citizen,,285,12513,23380,28668,49853,63127,62595,35422
-> French Canadian,,,,,,,,,
us_citizen,29528,2808,17692,30274,54173,66979,64399,55878,19935
not_us_citizen,,1555,9532,16465,27125,38413,57121,68613,37323
-> Acadian (2017 or later),,,,,,,,,
us_citizen,41092,,0,20500,65889,30000,,,
not_us_citizen,,,,30000,,0,,60600,3388
-> Cajun,,,,,,,,,
us_citizen,27321,,35733,27360,49231,30481,,0,
not_us_citizen,,,,,,,,300000,34000
-> American,,,,,,,,,
us_citizen,18875,5833,30783,49829,43635,39526,32640,15170,1750
not_us_citizen,,0,8085,29550,21183,17941,20774,21874,20981
-> United States,,,,,,,,,
us_citizen,19722,5130,28163,60071,54966,35918,52396,17378,3940
not_us_citizen,,0,128000,,36377,13865,17595,24510,15932
-> New Mexico (2017 or later),,,,,,,,,
us_citizen,23982,,,150000,40000,0,15000,,
not_us_citizen,,,,,,24000,36860,23733,14907
-> Texas,,,,,,,,,
us_citizen,26539,,14298,66634,51094,,93200,2665,-10001
not_us_citizen,,,0,,,,,,-10001
-> North American,,,,,,,,,
us_citizen,21146,0,65351,69872,69741,45283,56442,54139,8256
not_us_citizen,,,0,,60000,,94000,0,2349
-> Mixture,,,,,,,,,
us_citizen,23260,1591,35233,63920,57806,49572,48289,30610,14425
not_us_citizen,,0,11542,2530,36826,34887,35468,30215,16004
-> Uncodable entries,,,,,,,,,
us_citizen,26324,10720,29856,45856,41394,45035,38434,30459,18931
not_us_citizen,,269,1108,23890,17726,20751,30056,31726,21372
-> Other groups,,,,,,,,,
us_citizen,24399,14,6008,33673,67026,57867,52359,37707,30334
not_us_citizen,,,0,45000,97321,28208,33488,41351,29234
-> Other responses,,,,,,,,,
us_citizen,43907,17180,23805,42018,61484,68591,56393,56908,13977
not_us_citizen,,0,7411,7971,43081,34684,43729,50144,40354
-> Not reported,,,,,,,,,
us_citizen,18265,3847,14261,22037,30440,34817,36646,24350,6256
not_us_citizen,,6731,10138,16171,22567,29281,29848,29875,25361